[2025-05-26 10:00:29] [class-ss-archive-creation-job.php:119] Starting a job; no job is presently running
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/editor-preview-legacy-rtl.min.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/editor-preview-legacy.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/editor-preview-legacy.min.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/editor-preview-rtl.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/editor-preview-rtl.min.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/editor-preview.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/editor-preview.min.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/editor-rtl.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/editor-rtl.min.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/editor.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/editor.min.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/frontend-legacy-rtl.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/frontend-legacy-rtl.min.css
[2025-05-26 10:00:43] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/css/frontend-legacy.css
